ESTACION,LATITUD,LONGITUD,FUENTE
RIO PALLANGA,-11.1865,-76.32569,HTML_EMBEDDED
RUMICHACA,-11.69886,-76.10639,HTML_EMBEDDED
YAULI,-11.66667,-76.08333,HTML_EMBEDDED
JULCAN,-8.04229,-78.48607,HTML_EMBEDDED
SINSICAP,-7.85021,-78.75503,HTML_EMBEDDED
PUENTE COINA,-7.79636,-78.38012,HTML_EMBEDDED
TALLA (GUADALUPE),-7.28005,-79.4191,HTML_EMBEDDED
HUANGACOCHA,-7.9375,-78.0681,HTML_EMBEDDED
LAGUNA HUANGACOCHA,-7.9325,-78.06705,HTML_EMBEDDED
MOLLEPATA,-8.19137,-77.95397,HTML_EMBEDDED
HUACAMARCANGA,-8.1221,-78.2937,HTML_EMBEDDED
HUACAMARCANGA,-8.1081,-78.2876,HTML_EMBEDDED
QUIRUVILCA,-8.00422,-78.30791,HTML_EMBEDDED
PUENTE PALMIRA,-7.54919,-78.81051,HTML_EMBEDDED
EL TAMBO,-7.57398,-78.70655,HTML_EMBEDDED
TINAJONES,-6.65493,-79.4279,HTML_EMBEDDED
INCAHUASI,-6.23389,-79.31806,HTML_EMBEDDED
CUEVA BLANCA,-6.1313,-79.4045,HTML_EMBEDDED
PUCHACA,-6.37361,-79.46951,HTML_EMBEDDED
PUCHACA,-6.37317,-79.46697,HTML_EMBEDDED
CERRO DE ARENA,-5.92461,-80.20463,HTML_EMBEDDED
PASAJE SUR,-5.91741,-79.97184,HTML_EMBEDDED
CUTERVO,-6.37964,-78.80512,HTML_EMBEDDED
LLAUCANO CORELLAMA,-6.68656,-78.51823,HTML_EMBEDDED
BAMBAMARCA,-6.67655,-78.51834,HTML_EMBEDDED
JAEN,-5.67664,-78.77416,HTML_EMBEDDED
LA CASCARILLA,-5.67175,-78.89767,HTML_EMBEDDED
CHONTALI,-5.64389,-79.09,HTML_EMBEDDED
SALLIQUE,-5.65886,-79.31264,HTML_EMBEDDED
SAN IGNACIO,-5.14708,-78.99512,HTML_EMBEDDED
CHIRINOS,-5.3085,-78.89759,HTML_EMBEDDED
NAMBALLE,-4.99953,-79.08862,HTML_EMBEDDED
TABACONAS,-5.31515,-79.28488,HTML_EMBEDDED
SAN MARCOS,-7.32249,-78.1727,HTML_EMBEDDED
SONDOR-MATARA,-7.23687,-78.21262,HTML_EMBEDDED
SAN MIGUEL,-6.99684,-78.85308,HTML_EMBEDDED
QUILCATE,-6.82275,-78.744,HTML_EMBEDDED
LLAPA,-6.97833,-78.81119,HTML_EMBEDDED
NIEPOS,-6.92511,-79.12902,HTML_EMBEDDED
SAN PABLO,-7.11775,-78.83083,HTML_EMBEDDED
SANTA CRUZ,-6.61657,-78.94761,HTML_EMBEDDED
UDIMA,-6.81474,-79.09377,HTML_EMBEDDED
GRANJA KAYRA,-13.55675,-71.87517,HTML_EMBEDDED
POMACANCHI,-14.02781,-71.57258,HTML_EMBEDDED
PUENTE CUNYAC,-13.563,-72.5752,HTML_EMBEDDED
ANTA ANCACHURO,-13.47242,-72.21876,HTML_EMBEDDED
PISAC,-13.41951,-71.85087,HTML_EMBEDDED
PISAC,-13.4226,-71.8539,HTML_EMBEDDED
QUEBRADA YANATILE,-12.6788,-72.2785,HTML_EMBEDDED
SICUANI,-14.23736,-71.2367,HTML_EMBEDDED
SALCCA,-14.16963,-71.23172,HTML_EMBEDDED
SANTO TOMAS,-14.39878,-72.08774,HTML_EMBEDDED
PARURO,-13.76698,-71.8447,HTML_EMBEDDED
PAUCARTAMBO,-13.3177,-71.5974,HTML_EMBEDDED
PAUCARTAMBO,-13.30347,-71.59668,HTML_EMBEDDED
CAICAY,-13.59999,-71.69581,HTML_EMBEDDED
CHACLLABAMBA,-13.10677,-71.7203,HTML_EMBEDDED
CHALLABAMBA,-13.21754,-71.64938,HTML_EMBEDDED
COLQUEPATA,-13.36313,-71.67336,HTML_EMBEDDED
QUINCEMIL,-13.22893,-70.7544,HTML_EMBEDDED
CCATCCA,-13.60988,-71.5601,HTML_EMBEDDED
URUBAMBA,-13.30517,-72.12455,HTML_EMBEDDED
MACHU PICCHU,-13.16655,-72.54585,HTML_EMBEDDED
PILCHACA,-12.39939,-75.08412,HTML_EMBEDDED
ACOBAMBA,-12.84361,-74.5616,HTML_EMBEDDED
LIRCAY,-12.9815,-74.7181,HTML_EMBEDDED
CHALLACA,-13.78333,-75.4,HTML_EMBEDDED
ACOSTAMBO,-12.36079,-75.05725,HTML_EMBEDDED
PAMPAS,-12.40203,-74.88414,HTML_EMBEDDED
COLCABAMBA,-12.415,-74.6835,HTML_EMBEDDED
SALCABAMBA,-12.204,-74.7794,HTML_EMBEDDED
CANCHAN,-9.92095,-76.30962,HTML_EMBEDDED
PUENTE HIGUERAS,-9.9222,-76.30938,HTML_EMBEDDED
HUANUCO,-9.95201,-76.24856,HTML_EMBEDDED
CARPISH,-9.70568,-76.09424,HTML_EMBEDDED
SAN RAFAEL,-10.3399,-76.1824,HTML_EMBEDDED
SAN RAFAEL,-10.32926,-76.17658,HTML_EMBEDDED
