CODIGO_ID,ESTACION,LATITUD,LONGITUD,TIPO_REPORTE
240102,ENAPU PERU,-3.72722,-73.23694,DIFERIDO
100132,SHANUSI,-6.06703,-76.2505,DIFERIDO
100080,LAGUNAS,-5.2194,-75.6661,DIFERIDO
220107,BORJA,-4.47,-77.548,DIFERIDO
221402,NAUTA,-4.5146,-73.5831,DIFERIDO
104098,SAN REGIS,-4.51301,-73.90751,DIFERIDO
220105,SAN REGIS,-4.5132,-73.9076,DIFERIDO
104065,SANTA RITA DE CASTILLA,-4.5922,-74.3806,DIFERIDO
240005,PUERTO ALEGRIA,-4.11491,-70.05391,DIFERIDO
104010,SANTA ROSA,-4.22636,-69.95629,DIFERIDO
240108,SANTA ROSA,-4.2242,-69.9535,DIFERIDO
105095,REQUENA,-5.04308,-73.83612,DIFERIDO
250101,REQUENA,-5.0411,-73.84,DIFERIDO
251100,FLOR DE PUNGA,-5.4077,-74.1569,DIFERIDO
105092,FLOR DE PUNGA,-5.4055,-74.1591,DIFERIDO
105091,TAMANCO,-5.7921,-74.289,DIFERIDO
105090,BRETAÑA,-5.2539,-74.3444,DIFERIDO
104067,BAGAZAN,-4.724,-73.5321,DIFERIDO
251104,GENARO HERRERA,-4.902,-73.6715,DIFERIDO
251102,CONTAMANA,-7.3518,-75.0109,DIFERIDO
100034,CONTAMANA,-7.3526,-75.0064,DIFERIDO
116052,PAMPA UMALZO (TITIJONES),-16.8439,-70.5494,DIFERIDO
117031,TUMILACA,-17.1277,-70.8369,DIFERIDO
214700,OTORA,-17.0073,-70.8536,DIFERIDO
117024,OTORA,-17.0041,-70.8504,DIFERIDO
100059,ICHUÑA,-16.14109,-70.5427,DIFERIDO
250503,ENTAZ,-10.72244,-75.26238,DIFERIDO
105100,MIRAFLORES,-5.17528,-80.61654,DIFERIDO
100105,PORCULLA,-5.83964,-79.50572,DIFERIDO
105024,HACIENDA SHUMAYA,-5.36492,-79.36056,DIFERIDO
105023,TULUCE,-5.47718,-79.34742,DIFERIDO
220509,SONDORILLO,-5.33922,-79.41575,DIFERIDO
105015,HACIENDA BIGOTE,-5.3209,-79.7857,DIFERIDO
104044,ALAMOR,-4.47749,-80.3979,DIFERIDO
200322,ALAMOR,-4.47401,-80.39915,DIFERIDO
104014,PANANGA,-4.51556,-80.73945,DIFERIDO
270500,MUELLE LAGO,-15.83361,-70.01694,DIFERIDO
114040,PROGRESO,-14.6717,-70.3678,DIFERIDO
116060,DESAGUADERO,-16.56327,-69.03682,DIFERIDO
116075,CALLACAME,-16.57225,-69.31697,DIFERIDO
117041,CAPAZO,-17.1827,-69.7391,DIFERIDO
